bs,region,theta,pi,tajimas_d,n_call
42,cds,0.00023723853403836978,0.0002239944582731669,-0.2006156781378515,45591957
43,cds,0.00023504864975992787,0.0002204589266658852,-0.22305815445779606,46603361
44,cds,0.00023685281512717934,0.00022373421463934342,-0.19903876436038775,46082685
45,cds,0.0002378042301485846,0.00022257784443762853,-0.23009451009280124,46365433
46,cds,0.00023453956566810166,0.00022046578144442068,-0.21563698494443082,46169638
47,cds,0.00023666675421239765,0.0002225176162893724,-0.21484315926448544,46266609
48,cds,0.00023516073446770767,0.0002233915366564824,-0.17985002095650549,45983849
49,cds,0.00023881455261253004,0.00022434982718084432,-0.21765999789178897,46505116
50,cds,0.00023893441401041078,0.00022623640036175156,-0.19097919230651675,46087782
51,cds,0.0002379949282557303,0.0002226024271946864,-0.23241841390355372,46388652
52,cds,0.00023835962530946716,0.00022523380479786304,-0.19788961895977322,46644256
53,cds,0.00023655383544466885,0.00022139256505691995,-0.230321391420907,46085630
54,cds,0.00023816974692459782,0.00022425408351140952,-0.2099645850594025,45853087
55,cds,0.00023596095611810956,0.00021978894438574913,-0.246293329503361,46316845
56,cds,0.00023764602208520698,0.0002230732032103174,-0.22036473995518963,46528046
57,cds,0.00023641545184869723,0.00022347919052419853,-0.19663533675097394,46061810
58,cds,0.00023489040352857318,0.00022072003695214676,-0.21679267860220822,46609195
59,cds,0.00023914935312797754,0.00022518632681536673,-0.2098163617432984,46105542
60,cds,0.00023579630739141005,0.00022053215226251895,-0.23262933299673746,46277340
61,cds,0.00023615473430307373,0.0002219863283632075,-0.2156020848283136,46076340
62,cds,0.00023649654456347786,0.00022352965067529664,-0.19703335661012858,45974382
63,cds,0.00023652548662225718,0.00022370415760280412,-0.19479769425243196,46146459
64,cds,0.00023621135984684276,0.0002242031534800524,-0.18268653651113378,46960436
65,cds,0.00023720276768574497,0.00022229451383538122,-0.2258582608235225,46398018
66,cds,0.00023633452682472072,0.0002234935118465542,-0.1952542830694147,45681058
67,cds,0.00023691021915854757,0.00022342219522014466,-0.20459426308646478,46400097
68,cds,0.00023521712639016282,0.00022168191132894297,-0.20678771275495483,46083139
69,cds,0.00023416834752780952,0.00022064872591666916,-0.20747467503937056,46668663
70,cds,0.00023721761954379977,0.00022271108810226965,-0.21975840440964775,46236009
71,cds,0.00023724114051809216,0.0002223586121236224,-0.22543209487550514,46515253
72,cds,0.00023798099309289673,0.00022301281802754536,-0.22602454625075358,46361632
73,cds,0.00023638395836200318,0.0002224059516343943,-0.21249846049629936,45910096
74,cds,0.0002350340561857206,0.00022097889701837734,-0.21489860228582286,46291477
75,cds,0.00023623815176193917,0.000223171191069998,-0.19877126705478665,46757221
76,cds,0.00023607429006007282,0.00022395130598039067,-0.18453972582848607,46742440
77,cds,0.00023524557266603327,0.00022076322645790103,-0.22123113056646568,46494158
78,cds,0.00023543904734433165,0.00022145494841150563,-0.2134442818543675,46070670
79,cds,0.0002347061618754332,0.00022008116041884277,-0.22392362921992057,46166104
80,cds,0.00023528055029336687,0.0002208738498969258,-0.2200430525134349,47120699
81,cds,0.00023640566674258621,0.00022313599797157532,-0.2017116729250525,46360340
82,cds,0.00023624358357713846,0.0002234996114657317,-0.19385346488465663,46305913
83,cds,0.00023698306009521845,0.0002239876870415106,-0.19706066557892904,45721642
84,cds,0.0002365390397555531,0.00022297102019888646,-0.20613051941349186,46072194
85,cds,0.00023637534944594198,0.00022286147663295636,-0.20544999843930398,45841912
86,cds,0.00023608050166984166,0.00022304410816888513,-0.19843855167983757,46226173
87,cds,0.00023795716954662675,0.00022268066890086623,-0.230703422595175,46245514
88,cds,0.00023534421977079628,0.00022178021809312514,-0.20711564929852663,46226824
89,cds,0.00023670287737449306,0.00022130599952592195,-0.23375326194728357,45862735
90,cds,0.00023710025236366929,0.00022248487613777258,-0.22151703034201187,46716547
91,cds,0.00023653362305709586,0.0002213896628414663,-0.23007822987867213,46527463
92,cds,0.00023519887255059736,0.00022091342139745953,-0.21826661210707538,46202509
93,cds,0.00023547722439338852,0.00022361185168583896,-0.1810761770760682,46557701
94,cds,0.0002362980501101915,0.00022210594965469616,-0.21583174934259783,46318835
95,cds,0.0002379042623578881,0.00022443822853567198,-0.20340727605885905,46346839
96,cds,0.00023683925591595125,0.00022312364107798644,-0.2081086815636024,45917816
97,cds,0.00023656734524884058,0.00022148102656458765,-0.22916977584778422,46372167
98,cds,0.00023752812729777636,0.000222514147659805,-0.22714853392958173,46669409
99,cds,0.00023391267419620987,0.00022202484915561567,-0.18263229816282564,47019458
100,cds,0.00023545801718631476,0.0002234929023161093,-0.18261297455910014,45619777
0,intergenic_enhancers,0.00045821674919413935,0.00047676585925231533,0.14540160142758277,2885212
1,intergenic_enhancers,0.0004455296201531879,0.0004625448046737746,0.13717192353736637,2827307
2,intergenic_enhancers,0.0004607765241360586,0.00048202163754791877,0.16561016328261666,2883611
3,intergenic_enhancers,0.00045255046143472156,0.00046863844388288586,0.12768863006897005,2928445
4,intergenic_enhancers,0.00045831913913353325,0.00047347902472791385,0.11880805787334385,2895329
5,intergenic_enhancers,0.00045524051800858593,0.00046813850956928466,0.10176453250786717,2882406
6,intergenic_enhancers,0.000455167044479339,0.0004742853452614796,0.15086750473809984,2906428
7,intergenic_enhancers,0.0004732032453104509,0.00047982970856194455,0.05029885820648458,2877221
