bs,region,theta,pi,tajimas_d,n_call
65,4fold,0.00046065457234467877,0.0004760305128600497,0.11992848595871348,6788242
66,4fold,0.00045156749457819377,0.0004705364692850036,0.15092942943303933,6707345
67,4fold,0.00045745341845713084,0.0004730082160308114,0.12217240005167886,6807149
68,4fold,0.000452700393445453,0.00046547580160501037,0.10139534145861197,6777247
69,4fold,0.0004529930537007874,0.00046572900945280856,0.10101716752854693,6845298
70,4fold,0.00045958169463579916,0.00047297110692068523,0.104677722124722,6765827
71,4fold,0.0004564599038862788,0.0004723453759421151,0.1250412459451442,6834180
72,4fold,0.0004640549359419785,0.0004786798673975684,0.11323520709930625,6804583
73,4fold,0.00045587282567012197,0.0004719328717157417,0.12657780108364206,6754545
74,4fold,0.0004513192522216148,0.00046428795704097823,0.10324449064641623,6801313
75,4fold,0.0004570589161767081,0.00047163633155325723,0.11459474532621494,6862758
76,4fold,0.00045832539844877396,0.000478087797545592,0.15492530654320122,6861574
77,4fold,0.00045073022577426494,0.0004653187062558592,0.1162913876504299,6812580
78,4fold,0.00045357558448885126,0.0004684388738812603,0.11773867690968426,6750932
79,4fold,0.0004559156142782986,0.0004705648602432805,0.11544780666044621,6781192
80,4fold,0.0004570696786050063,0.00046921128893533587,0.09544456768444469,6929219
81,4fold,0.0004608764133324861,0.00047750726282552806,0.12965413128763018,6809170
82,4fold,0.0004568655485328331,0.0004706914361599662,0.10873255708527392,6774133
83,4fold,0.00045902120126224986,0.00047404115789660353,0.11756842709044278,6728305
84,4fold,0.00045384006551558076,0.0004703429407550421,0.13065041268507807,6754558
85,4fold,0.0004580297392474093,0.00047245968953952,0.1131945570472318,6717587
86,4fold,0.00045212020894009545,0.0004683616442928169,0.12906968510914954,6764600
87,4fold,0.0004579055162906272,0.0004695952527298088,0.0917242688773256,6786847
88,4fold,0.0004547484658616569,0.0004713447590470777,0.13112772599899916,6784921
89,4fold,0.00045903323092684885,0.0004717482390820425,0.09952391089062348,6737472
90,4fold,0.00045967064009846167,0.0004754024203308628,0.12296682586689059,6857355
91,4fold,0.0004588613233251637,0.0004663121780634437,0.05834190883773187,6811032
92,4fold,0.00045407981484017187,0.00047445881003808026,0.1612519270307267,6773188
93,4fold,0.0004554684635770948,0.0004717042644593279,0.1280768805218937,6817982
94,4fold,0.0004565250319685043,0.0004725286261387855,0.12595288776186603,6792808
95,4fold,0.00045812718482113107,0.0004714679285821977,0.1046284458786951,6808840
96,4fold,0.0004539163207809053,0.0004699796629026047,0.1271492706219514,6737833
97,4fold,0.00045680522643516604,0.0004635669305493524,0.05318392850306863,6796622
98,4fold,0.00045555516823757997,0.0004683160126561616,0.10064544520792647,6840221
99,4fold,0.00045044215744562827,0.000467959340306789,0.13972713045006122,6905487
100,4fold,0.0004525190053947109,0.00047224284177693683,0.15660557128759228,6686607
