bs,region,theta,pi,tajimas_d,n_call
51,0fold_enhancers,0.00016522023012389164,0.00012002871356465387,-0.9775736198092838,798229
52,0fold_enhancers,0.00017107325736723998,0.00013696773786233419,-0.7126986319053055,807271
53,0fold_enhancers,0.00017861259157496797,0.00014945909632850508,-0.5836723901828971,818819
54,0fold_enhancers,0.0001816364388286677,0.00014720040327858135,-0.6780507626814397,828800
55,0fold_enhancers,0.00017648148387261863,0.00014333569827249955,-0.6715844347104176,821416
56,0fold_enhancers,0.0001788717289282061,0.00015023594012893336,-0.5723999477724121,796053
57,0fold_enhancers,0.00018143355461658082,0.00014338977257311936,-0.749904752891739,824999
58,0fold_enhancers,0.0001675152115405654,0.0001297690243165451,-0.8055505596194636,828258
59,0fold_enhancers,0.00016833623145906233,0.00013192246988045632,-0.7733496054230388,829314
60,0fold_enhancers,0.00017102748075250516,0.0001399168339866308,-0.6503669754325525,826295
61,0fold_enhancers,0.00017732270880388992,0.00013749519248761004,-0.8030655701626473,803007
62,0fold_enhancers,0.00016410711710737648,0.0001325374726927982,-0.6875462733124881,804950
63,0fold_enhancers,0.00017052076379166513,0.0001404971012769448,-0.6294282506433351,808629
64,0fold_enhancers,0.0001792268917654563,0.0001388814748065722,-0.8049559202369059,812423
65,0fold_enhancers,0.00016600500668528028,0.00012847640227312348,-0.8080583702955977,809957
66,0fold_enhancers,0.0001784840650992957,0.00014153847598676397,-0.7403628570665635,855453
67,0fold_enhancers,0.00017588087971152265,0.0001407426751739841,-0.7143851021132709,824221
68,0fold_enhancers,0.0001657658316990913,0.0001270985322340222,-0.8337489178180891,805951
69,0fold_enhancers,0.00016798119393134545,0.0001349912302508026,-0.7020994680036682,827237
70,0fold_enhancers,0.00018173356758485358,0.0001551293978286502,-0.523595654551895,840157
71,0fold_enhancers,0.0001748852667292851,0.00014081693384730045,-0.696492393577148,809294
72,0fold_enhancers,0.0001717865455263215,0.00013552074664208884,-0.7548939964717732,846362
73,0fold_enhancers,0.0001642431755765059,0.00013003087050393876,-0.744579997667969,823868
74,0fold_enhancers,0.00018523653925189758,0.00013889759557847987,-0.8947662973355076,827742
75,0fold_enhancers,0.00017105692832919574,0.00013177215350959872,-0.8210272337851661,811109
76,0fold_enhancers,0.0001727762180954504,0.0001405632240387848,-0.6665104454790893,798073
77,0fold_enhancers,0.00017526200032125092,0.0001320496833830586,-0.881691565102679,836920
78,0fold_enhancers,0.00017546798556136413,0.00014534939311233177,-0.6137917272759628,831049
79,0fold_enhancers,0.00016689625804715435,0.00012849147661272626,-0.8225571492940378,814626
80,0fold_enhancers,0.00016597389178875984,0.00013218273344259857,-0.7277457275610848,815277
81,0fold_enhancers,0.0001709966461228967,0.00014410718201378857,-0.5622246643583563,826444
82,0fold_enhancers,0.00017531634648730287,0.00014266543380766597,-0.6659786993380626,832991
83,0fold_enhancers,0.00016893144349926041,0.00014081152195838945,-0.5951021727462128,826392
84,0fold_enhancers,0.0001803152107493147,0.00015057538103915445,-0.589814592352292,818223
85,0fold_enhancers,0.00016548276192944074,0.00013214321015521141,-0.7201810153056886,824176
86,0fold_enhancers,0.00016382003856660899,0.00012498923579963998,-0.8472775665798584,825996
