neu_theta_1,neu_gamma_1,neu_e_1,sel_theta,sel_shape,sel_scale,sel_e,lnL,converged,bounds,rep,region,bin,proportion
0.000476742972379364,0,0.0723738985453556,0.000476742972379364,0.00667718343776135,1993.8938005429502,0.0730333028559231,6295801.59366076,True,nan,28,intergenic,0.0 - 1.0,0.9630294013254167
0.000476742972379364,0,0.0723738985453556,0.000476742972379364,0.00667718343776135,1993.8938005429502,0.0730333028559231,6295801.59366076,True,nan,28,intergenic,1.0 - 10.0,0.014804302756962817
0.000476742972379364,0,0.0723738985453556,0.000476742972379364,0.00667718343776135,1993.8938005429502,0.0730333028559231,6295801.59366076,True,nan,28,intergenic,10.0 - 100.0,0.014023790676159211
0.000476742972379364,0,0.0723738985453556,0.000476742972379364,0.00667718343776135,1993.8938005429502,0.0730333028559231,6295801.59366076,True,nan,28,intergenic,100.0 - inf,0.00814250523314637
0.00047361829048883896,0,0.0659139391080908,0.00047361829048883896,0.032847429167064,21.2770114824747,0.0708894698848781,6472372.9852730995,True,nan,29,intergenic,0.0 - 1.0,0.9583582326598235
0.00047361829048883896,0,0.0659139391080908,0.00047361829048883896,0.032847429167064,21.2770114824747,0.0708894698848781,6472372.9852730995,True,nan,29,intergenic,1.0 - 10.0,0.03964795704382364
0.00047361829048883896,0,0.0659139391080908,0.00047361829048883896,0.032847429167064,21.2770114824747,0.0708894698848781,6472372.9852730995,True,nan,29,intergenic,10.0 - 100.0,0.0019938102846382513
0.00047361829048883896,0,0.0659139391080908,0.00047361829048883896,0.032847429167064,21.2770114824747,0.0708894698848781,6472372.9852730995,True,nan,29,intergenic,100.0 - inf,1.2792742855877532e-11
0.00047314926101353204,0,0.075269364338541,0.00047314926101353204,0.0539993563704372,11.977496922561901,0.0757152521669059,6127049.41182327,True,nan,30,intergenic,0.0 - 1.0,0.9547905715955258
0.00047314926101353204,0,0.075269364338541,0.00047314926101353204,0.0539993563704372,11.977496922561901,0.0757152521669059,6127049.41182327,True,nan,30,intergenic,1.0 - 10.0,0.04469914756433467
0.00047314926101353204,0,0.075269364338541,0.00047314926101353204,0.0539993563704372,11.977496922561901,0.0757152521669059,6127049.41182327,True,nan,30,intergenic,10.0 - 100.0,0.000510280837236389
0.00047314926101353204,0,0.075269364338541,0.00047314926101353204,0.0539993563704372,11.977496922561901,0.0757152521669059,6127049.41182327,True,nan,30,intergenic,100.0 - inf,6.1264828774914394e-18
0.00046814340745530595,0,0.05695900153133,0.00046814340745530595,0.0026101938605884397,3085.70374963284,0.0656563400047462,6267943.93127542,True,nan,31,intergenic,0.0 - 1.0,0.9842695147530962
0.00046814340745530595,0,0.05695900153133,0.00046814340745530595,0.0026101938605884397,3085.70374963284,0.0656563400047462,6267943.93127542,True,nan,31,intergenic,1.0 - 10.0,0.005903494403696919
0.00046814340745530595,0,0.05695900153133,0.00046814340745530595,0.0026101938605884397,3085.70374963284,0.0656563400047462,6267943.93127542,True,nan,31,intergenic,10.0 - 100.0,0.005676975236710917
0.00046814340745530595,0,0.05695900153133,0.00046814340745530595,0.0026101938605884397,3085.70374963284,0.0656563400047462,6267943.93127542,True,nan,31,intergenic,100.0 - inf,0.004150015620549915
0.00046920145932989696,0,0.0540149629028595,0.00046920145932989696,0.020320581168023,171.987467331956,0.05370070509344099,6379213.88551431,True,nan,32,intergenic,0.0 - 1.0,0.9366029536178748
0.00046920145932989696,0,0.0540149629028595,0.00046920145932989696,0.020320581168023,171.987467331956,0.05370070509344099,6379213.88551431,True,nan,32,intergenic,1.0 - 10.0,0.041022766003232486
0.00046920145932989696,0,0.0540149629028595,0.00046920145932989696,0.020320581168023,171.987467331956,0.05370070509344099,6379213.88551431,True,nan,32,intergenic,10.0 - 100.0,0.021714200326848985
