bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
22	425,187,111,78,61,57,68,42,40,43,24,21,28,32,30,15,34,26,33,19,23,21,11,25,12,8,11,22,17,19,11,8,10,5,14,17,19,13,14,12,13,10,7,13,12,9,17,14,8,18,11,15,12,9,16,17,19,29,42	858463	308,146,120,63,57,50,49,19,29,39,27,24,24,27,19,22,17,13,34,22,18,16,9,5,6,12,6,10,13,3,7,10,11,14,5,14,7,11,4,7,7,11,8,6,11,7,2,4,15,11,2,13,3,11,8,11,15,10,19	681550
23	446,175,91,96,72,73,70,34,48,39,35,28,29,41,28,25,40,17,22,15,20,17,12,17,16,10,12,12,11,28,12,12,8,3,17,18,12,6,7,15,9,15,13,12,15,15,14,9,16,14,13,15,14,13,9,19,20,30,34	875068	315,132,97,64,61,50,40,26,22,37,22,30,24,15,20,20,19,19,23,13,12,12,15,7,8,9,7,6,15,12,12,3,11,11,8,10,8,9,4,8,5,10,8,8,5,7,4,4,12,12,3,20,2,7,8,4,9,14,20	678768
24	448,198,125,93,62,60,54,33,50,51,32,33,33,37,44,30,43,19,32,16,25,17,11,18,24,10,13,22,14,21,13,11,17,9,21,19,16,14,4,9,14,9,11,15,13,11,11,14,13,20,12,18,12,16,13,19,37,33,38	913473	361,135,107,86,68,63,35,27,32,41,26,20,18,27,22,14,10,17,32,12,14,13,15,10,7,14,2,10,15,7,9,11,9,18,9,9,6,8,5,3,10,2,9,12,8,12,8,5,15,10,1,25,3,5,12,8,9,14,27	691013
25	401,170,114,92,65,47,61,42,44,46,22,32,24,27,25,21,37,10,20,13,6,21,8,19,18,5,16,25,12,24,17,15,6,3,16,17,13,7,9,11,14,8,11,13,10,7,14,9,13,16,12,18,19,10,16,18,21,25,29	884024	333,119,90,70,59,52,44,17,32,46,31,9,12,31,20,27,13,20,19,14,15,12,7,7,4,10,8,16,10,12,4,9,12,17,12,17,5,7,2,8,8,12,11,10,8,4,4,2,8,10,6,15,5,9,14,3,5,11,25	703506
26	435,180,131,87,57,61,68,50,43,37,46,24,27,40,31,29,29,24,33,16,19,23,9,18,23,14,14,14,16,22,18,11,11,6,18,16,14,10,8,7,10,12,9,15,12,16,12,14,13,20,14,15,24,19,21,22,27,32,36	904517	338,124,109,87,66,57,38,23,22,42,30,31,17,23,18,16,9,22,26,14,17,13,11,12,5,12,6,13,9,7,8,8,5,12,6,8,10,17,4,5,8,8,8,7,10,7,8,7,9,11,1,19,5,3,7,3,6,15,28	681053
27	413,182,105,83,60,66,72,58,36,33,30,24,31,31,19,21,35,19,22,18,14,17,8,23,23,14,13,32,16,22,10,10,20,5,21,20,19,5,13,5,27,10,13,14,16,10,13,12,10,22,11,10,10,9,16,26,20,26,36	895995	304,128,78,79,74,55,47,23,21,33,29,18,24,23,11,16,22,18,36,24,13,12,9,14,6,20,4,11,17,8,7,12,5,22,15,10,6,12,7,5,11,16,12,7,7,10,4,3,11,13,1,16,4,10,12,8,6,18,10	666328
28	431,201,102,87,58,55,63,35,49,44,32,27,35,31,22,22,30,24,26,14,20,18,8,22,19,8,19,30,19,21,12,4,14,7,11,14,18,5,11,5,14,11,16,9,12,14,10,12,18,12,16,12,17,10,19,9,23,37,49	880579	325,129,107,83,67,64,41,22,23,31,35,21,20,28,21,18,19,23,33,13,12,12,12,5,6,21,2,14,14,5,13,13,12,14,15,12,6,8,5,1,6,5,9,7,7,9,5,5,12,10,5,18,7,11,6,7,5,12,28	694530
29	427,189,98,105,58,76,62,47,40,47,33,21,41,34,34,34,38,26,34,13,22,23,13,13,22,12,12,31,28,20,18,8,11,7,21,27,14,14,9,8,13,8,12,14,14,13,16,12,16,25,13,20,20,13,12,23,17,45,32	907706	336,129,109,49,71,52,44,33,26,51,24,31,22,24,16,17,9,12,26,23,20,13,8,6,7,13,7,9,15,12,9,10,9,11,7,14,5,12,8,6,9,11,8,6,4,9,7,5,11,17,4,16,6,9,17,6,7,9,16	670265
30	374,170,103,83,64,50,54,34,50,33,38,18,28,32,27,26,35,15,27,22,21,18,8,20,30,11,14,38,15,16,7,12,13,2,12,11,19,9,12,5,15,14,10,17,11,13,15,15,13,26,13,17,17,10,9,21,20,31,36	875437	329,138,97,68,69,44,43,29,26,32,32,16,19,20,23,17,22,19,26,22,21,4,19,9,5,14,8,4,12,7,17,7,11,19,13,7,10,8,3,7,6,10,14,6,6,7,4,8,11,19,4,17,1,9,11,7,11,12,18	658105
31	394,187,117,85,63,66,62,39,32,47,39,20,28,25,22,23,40,24,24,16,18,22,8,15,23,15,18,28,16,24,10,9,15,8,11,18,16,12,13,5,11,10,10,9,13,10,16,10,12,24,8,11,18,8,11,21,25,34,56	906121	331,154,107,89,62,57,39,27,24,39,38,16,24,25,15,26,24,16,32,23,12,9,16,12,5,20,2,8,11,15,6,9,11,10,5,13,7,13,10,8,8,7,10,7,8,3,7,5,12,10,3,23,9,7,8,3,9,12,19	695624
32	414,177,118,91,60,76,75,59,41,33,39,29,35,26,26,25,34,23,29,27,13,23,15,17,20,10,8,22,20,19,10,14,16,4,13,20,18,13,7,7,10,12,18,8,11,5,18,6,10,24,15,20,15,8,13,19,30,25,43	876494	320,130,104,65,69,55,40,23,34,39,46,21,20,21,15,16,14,14,28,17,13,9,9,7,11,9,6,6,21,5,10,8,15,20,8,15,8,12,11,5,6,7,3,9,8,12,8,4,18,3,2,11,3,13,9,5,14,18,28	673377
33	481,181,116,84,63,67,66,58,48,45,25,27,22,41,38,24,49,17,25,9,11,19,9,22,23,14,17,21,11,21,15,9,17,6,12,16,15,14,9,4,16,8,13,7,13,14,10,10,9,18,13,17,18,7,17,17,17,30,44	920325	317,151,111,63,63,50,41,22,28,36,36,24,25,22,22,22,22,15,20,14,19,23,3,4,7,14,9,13,8,8,12,10,6,14,9,15,4,10,7,4,13,8,10,10,13,9,5,5,12,14,2,19,3,12,13,1,7,10,26	701504
34	422,214,102,80,70,71,81,51,40,44,34,27,30,40,28,23,47,23,25,20,18,13,6,15,9,18,14,22,14,19,18,11,13,3,18,15,17,13,7,12,12,17,13,11,10,11,22,5,10,18,11,10,14,9,19,18,33,25,35	887895	337,127,109,66,53,47,57,23,27,49,27,23,20,25,16,19,17,16,24,18,16,10,17,12,8,18,3,8,18,8,12,9,11,15,8,7,4,8,3,9,7,9,5,7,7,11,5,6,13,7,1,15,6,8,8,6,12,13,28	681235
35	417,170,129,100,64,71,67,38,43,38,24,20,45,39,21,31,33,23,46,20,15,29,13,20,18,7,14,16,25,15,18,10,16,6,11,17,17,7,13,12,16,10,10,11,13,11,12,14,12,33,21,22,20,15,14,26,32,33,39	927492	343,122,104,83,57,57,37,22,34,40,27,14,18,27,16,29,19,24,28,5,8,8,8,7,6,14,3,14,11,18,8,12,9,14,10,14,4,5,4,4,7,4,14,14,8,7,6,3,8,15,4,22,5,7,7,3,4,18,28	687632
36	399,165,108,82,78,57,63,38,42,42,28,30,31,49,24,29,37,18,36,15,18,15,8,10,20,7,17,22,16,18,14,14,12,5,22,14,13,17,16,14,15,8,11,11,16,14,25,13,12,17,13,11,13,8,13,33,22,39,47	884048	300,124,91,85,66,49,42,26,28,45,35,31,20,41,18,26,16,20,27,14,18,14,2,6,7,20,8,13,21,6,12,11,9,14,7,9,7,7,6,4,12,5,15,9,6,11,3,4,6,12,4,10,7,10,19,8,9,11,21	673955
37	430,173,113,97,71,83,70,37,51,44,32,31,30,36,32,27,41,25,29,14,13,23,9,21,15,20,15,25,12,14,13,7,15,7,17,18,15,9,8,6,14,11,10,14,16,12,12,11,7,17,15,17,19,12,14,26,25,25,31	880006	342,136,102,69,63,48,43,20,19,32,26,21,19,24,12,23,26,14,31,10,15,18,12,5,5,13,5,16,17,8,9,11,11,11,11,18,4,11,5,6,10,11,9,13,6,12,6,6,8,6,3,20,4,9,13,6,11,13,15	709181
38	402,187,103,79,51,68,71,36,52,42,28,17,37,40,28,19,21,15,28,11,20,27,8,15,11,13,6,24,22,13,13,18,12,7,12,23,15,6,6,2,16,7,17,13,10,15,9,12,10,26,13,12,11,8,18,24,17,25,42	862656	309,119,108,59,60,63,41,30,27,42,24,30,25,26,10,18,20,13,26,18,11,10,9,7,3,15,3,16,13,6,13,12,8,19,13,14,6,10,4,3,10,10,14,10,4,8,10,9,8,7,2,13,4,8,12,4,5,12,21	670835
39	401,179,139,71,64,59,78,47,40,51,29,25,23,36,29,29,44,22,31,16,20,16,12,20,20,16,13,20,16,19,13,8,12,3,12,19,18,16,11,7,13,7,11,9,16,4,14,15,10,19,15,9,16,11,20,28,26,26,36	903229	325,117,91,71,51,54,52,26,35,40,36,30,24,24,14,27,21,17,33,20,11,11,7,7,4,12,5,8,12,8,12,10,9,18,7,10,3,10,5,8,18,13,14,7,8,8,6,7,13,11,3,28,9,7,12,8,9,16,23	685211
40	390,176,115,88,58,70,64,49,36,56,23,30,33,31,37,37,39,21,29,14,20,25,14,14,20,11,13,18,12,13,14,17,15,6,15,22,19,11,12,7,13,10,7,8,21,10,24,9,11,20,11,16,15,11,14,22,28,33,28	881860	316,123,101,75,61,47,42,28,29,35,19,21,15,26,14,22,26,17,28,15,14,11,8,15,3,13,7,15,14,8,12,12,7,16,8,13,3,8,0,3,11,7,12,13,14,5,8,3,10,15,6,15,2,10,7,4,10,12,18	676063
41	418,176,117,88,63,61,63,53,48,44,26,26,32,43,35,35,47,21,28,15,18,21,16,23,10,11,20,21,15,20,11,11,13,8,16,18,21,12,10,7,8,10,13,15,15,10,9,13,9,10,12,22,17,15,9,15,18,27,34	906502	352,150,104,65,68,54,39,26,30,43,31,30,15,22,11,14,13,16,28,12,16,10,8,17,7,18,4,11,8,4,8,11,10,29,11,16,8,14,3,6,10,8,10,6,10,9,8,6,8,17,3,9,3,8,7,4,17,22,22	686305
42	403,195,113,96,58,65,75,56,53,34,21,22,32,40,27,26,33,15,30,21,18,15,12,11,28,13,6,25,14,13,14,6,15,8,14,13,23,15,11,4,16,13,15,10,12,4,20,8,7,16,11,9,12,11,15,27,37,22,39	891745	329,152,107,61,66,42,46,21,29,39,30,25,24,16,19,22,22,21,27,19,10,14,15,11,10,10,9,7,8,9,8,13,8,15,16,6,10,6,5,4,10,13,11,11,5,11,5,5,15,11,5,15,7,6,10,7,12,15,16	687094
43	373,179,114,71,64,49,58,53,53,29,32,32,31,35,27,31,32,20,22,8,14,9,12,17,24,13,14,35,24,28,15,12,14,7,17,12,23,12,6,11,11,10,13,13,13,10,8,8,10,14,9,20,13,9,14,22,27,22,36	893306	351,133,107,83,54,57,41,18,33,41,27,22,14,22,22,13,25,13,33,16,16,9,15,15,4,15,6,9,24,14,12,12,10,14,8,19,5,6,3,6,11,3,5,7,6,9,7,6,8,15,3,11,4,6,15,3,10,11,27	706955
44	449,184,106,77,51,53,64,55,44,53,36,29,35,36,24,34,44,20,28,19,14,18,12,16,17,12,14,31,17,23,11,12,15,6,30,23,19,6,5,9,24,10,20,18,13,9,17,13,16,24,11,14,14,13,11,22,39,29,46	899309	336,146,87,73,47,65,60,27,27,42,31,36,26,25,19,26,18,19,23,13,14,12,13,4,8,16,9,9,16,13,5,13,11,22,14,10,8,6,7,11,11,10,10,14,6,13,7,14,9,8,4,26,2,10,7,6,11,9,25	707254
45	420,215,124,99,58,64,62,48,54,41,23,20,23,36,29,25,42,16,30,24,24,20,8,22,23,8,8,19,17,18,16,9,11,5,17,16,20,15,8,5,10,9,16,15,14,19,7,10,12,21,14,18,15,9,26,12,22,37,43	896168	358,116,95,82,56,51,36,27,34,27,24,33,22,20,26,14,15,23,24,11,14,16,12,10,11,16,2,14,21,11,11,9,16,18,10,9,7,14,9,7,11,9,12,10,2,15,6,3,12,14,4,17,1,5,18,5,5,10,14	678837
46	402,179,121,93,66,64,62,33,40,45,26,22,39,39,30,23,45,28,37,15,15,20,11,12,18,13,13,22,14,17,21,14,19,4,14,25,22,10,9,12,17,9,8,11,20,11,12,9,13,14,13,15,13,8,16,18,27,36,45	905420	347,149,85,67,65,53,43,26,29,30,18,24,24,30,14,22,12,19,29,16,16,19,9,16,9,22,4,15,24,8,8,8,12,24,19,9,8,11,4,5,15,8,7,12,5,8,14,3,10,14,6,18,8,6,9,5,5,15,27	676225
