region,bs_rep,theta,shape,scale,mean_gamma,alpha,omega
intergenic,19,0.00047392696957419,0.0319847906698948,39.9008770736381,1.2762212007455191,-0.08633241375227274,-0.07184900988828091
intergenic,20,0.000456162168289074,0.00717311566807108,615.176007879808,4.412728660744069,-0.1522190380660542,-0.12668228184347063
intergenic,21,0.000475179350191408,0.030854758535702,27.7129339310244,0.8550758847576206,-0.101955193399063,-0.08485086169038125
intergenic,22,0.000475453857109588,0.0421524767910828,31.3341543303669,1.3208122131789972,-0.062315676533420294,-0.05186139787880961
intergenic,23,0.000471583109551169,0.0278419549303173,28.0136247001888,0.77995407633748,-0.11100037621412384,-0.09237859549596483
intergenic,24,0.000458360272715986,0.00557114515987518,2350.28676243977,13.093788720885032,-0.15442500338382792,-0.12851816731268417
intergenic,25,0.000467123865372804,0.0045762408399058,1999.33174681964,9.14942359231624,-0.16356901859839956,-0.1361281530760331
intergenic,26,0.000464054047949737,0.00618211463808771,1377.29877138532,8.514618895601405,-0.15316712315533243,-0.12747131312377213
intergenic,27,0.000462129802155591,0.0228603211150668,77.2800184128786,1.7666460366966799,-0.10177288993580746,-0.08469914204343965
intergenic,28,0.000476742972379364,0.00667718343776135,1993.89380054295,13.313594661640419,-0.1465421542321137,-0.12195777033045063
intergenic,29,0.000473618290488839,0.032847429167064,21.2770114824747,0.698895127557395,-0.1047488216930419,-0.08717582190166673
intergenic,30,0.000473149261013532,0.0539993563704372,11.9774969225619,0.6467771247472348,-0.07627923816023818,-0.06348238742138956
intergenic,31,0.000468143407455306,0.00261019386058844,3085.70374963284,8.054284982886367,-0.17841607468579812,-0.14848441920217592
intergenic,32,0.000469201459329897,0.020320581168023,171.987467331956,3.494885289801716,-0.09476257480407368,-0.0788648999629945
intergenic,33,0.000471440260340823,0.288347945196154,1.12067821939706,0.32314526178922687,-0.04923144440685201,-0.04097221868662437
intergenic,34,0.000477146955632632,0.0155066920499902,230.215964846243,3.5698880718620596,-0.11417602243463199,-0.09502148507569663
intergenic,35,0.000458716483951904,0.0566763194680519,17.4375590418528,0.9882966669990663,-0.05016205240133642,-0.041746704885859964
intergenic,36,0.000465256243595505,0.0496126335620605,11.6041526602023,0.5757125737288263,-0.08746589257522075,-0.07279233265221785
intergenic,37,0.000477460645874788,0.0092545859514907,746.633087420309,6.90978008175812,-0.13624325053023179,-0.1133866438930703
intergenic,38,0.000481349996198165,0.0114930031180488,715.863954503646,8.227426661209147,-0.12151942038934038,-0.10113293093165743
intergenic,39,0.000473561958679996,0.0301365060456894,18.0329878030559,0.5434512459486374,-0.11756929207188516,-0.09784548886667355
intergenic,40,0.000474576837046886,0.0393914086698386,17.8529082717865,0.703251205679084,-0.09333144731896592,-0.07767386303538182
intergenic,41,0.000469094697734321,0.0505530163330191,15.8234395161623,0.7999225963050925,-0.07035241296389327,-0.05854986551414609
intergenic,42,0.000460781943826469,0.00582199001249432,1765.58317497107,10.279207610909582,-0.1542648806409037,-0.1283849072769725
intergenic,43,0.000445427307664433,0.00246321607333461,5000.0,12.31608036667305,-0.17830745389100633,-0.14839402098185683
intergenic,44,0.00048280716731394,0.00840061674315259,1235.59178871195,10.379733067955463,-0.13730671348236467,-0.11427169687424688
intergenic,45,0.000481223804385232,0.00699607268632824,1975.87762001417,13.823383448908382,-0.1440499623955398,-0.11988367662535282
intergenic,46,0.000475444263455633,1.56190261140303,0.104322275990158,0.16294123529653542,-0.10803539370417559,-0.0899110280040245
intergenic,47,0.000463121297383414,0.00522403083399833,2302.02504076158,12.025849793574755,-0.15743382756044721,-0.13102222145205222
intergenic,48,0.000473932097583645,1.61028826424934,0.170823382329325,0.2750748878242901,-0.0485034545613896,-0.040366358762966015
intergenic,49,0.000471755793037918,0.180705132640275,1.73194627655689,0.3129715816310432,-0.06630313705205526,-0.055179909174632
intergenic,50,0.000483376434211404,0.0110054885535694,1056.14958606087,11.623442180249963,-0.1200103709134861,-0.09987704445750334
intergenic,51,0.000471669762058192,0.0572170256436016,11.9122161780876,0.6815815785337641,-0.06951849309777791,-0.05785584673136901
intergenic,52,0.000474448041259964,0.0210559908983195,94.5641060151695,1.9911409555631292,-0.1047276237091348,-0.08715818015983245
intergenic,53,0.000452750556052562,0.0131245416670159,469.225813437199,6.158373739695948,-0.1167490798662556,-0.09716287810309787
intergenic,54,0.000472370894705312,0.00246921002047505,4890.23544113236,12.07501835372625,-0.17831593222644537,-0.14840107696442828
intergenic,55,0.000450155080277207,0.012591709023014,115.42490634666,1.4533968347257846,-0.13987698959994121,-0.11641077518980603
intergenic,56,0.000450807111450215,0.0132427161876564,225.046323818348,2.980224595401801,-0.1268688823587245,-0.105584949926958
intergenic,57,0.000470460931340579,0.00291218479958152,5000.0,14.560923997907599,-0.17411405744592012,-0.14490412223405824
intergenic,58,0.000451748639350627,0.00846266469226948,656.621305364857,5.556765937103071,-0.14293213140657612,-0.118953376564359
intergenic,59,0.000448219472674843,0.0191105876075524,129.489285265698,2.4746163303094653,-0.1067725174523595,-0.08886001594075965
intergenic,60,0.000477645373785163,0.0132642388389517,273.770292983356,3.6313545531410165,-0.12384526762555503,-0.10306858654245654
intergenic,61,0.000478762183326428,0.0582788288833216,11.1687088516244,0.6508992720114577,-0.07071602654470244,-0.05885247810920258
intergenic,62,0.000467729892139351,0.0216977351421915,76.2885649958357,1.6552890776575047,-0.10694867493370896,-0.08900662067552012
intergenic,63,0.000474574597896476,0.00897191101668604,753.608943079991,6.7613123786924945,-0.13809085231600515,-0.11492428605093408
intergenic,64,0.000469213311988151,0.00511964429902981,797.95302238426,4.085235641943183,-0.1645919014082955,-0.13697943377036936
intergenic,65,0.000474571897141259,0.0549370305599777,13.0853151434328,0.7188683579217067,-0.06961797117512458,-0.05793863604597649
intergenic,66,0.000481231121541763,0.0229263102598148,95.8828102453904,2.1982390562687697,-0.09616521493326902,-0.08003222866529902
intergenic,67,0.000457892601277766,0.0222326596693816,56.4835848675364,1.2557803192665693,-0.11193589277653326,-0.09315716678595654
intergenic,68,0.000463989777351629,0.0148852174769494,531.675819417227,7.9141101992607,-0.10378317653786051,-0.08637217648869033
intergenic,69,0.000468924752000097,0.0388489431497948,21.4549839501236,0.8335034517581116,-0.08757141644270705,-0.07288015349573362
intergenic,70,0.000469859510656977,0.0981811024223607,5.904096895645,0.5796707420228635,-0.04181577504370959,-0.03480062590654176
intergenic,71,0.000465852850906367,0.0107524401963437,681.691755600229,7.329849834432008,-0.1271056101767869,-0.1057819635236078
intergenic,72,0.000473103477165064,0.00294443519443978,4288.24197824135,12.626450603007894,-0.1743440819319595,-0.1450955570712611
intergenic,73,0.000479146925412981,0.0251310927391993,33.9300649956412,0.8526996100525189,-0.11441242883454228,-0.09521823117633899
intergenic,74,0.000465416047466918,0.0399926611012842,14.3252642883824,0.5729054398716065,-0.10049951718836181,-0.08363939441046819
intergenic,75,0.000479203930107108,0.0407716644083326,27.6867598088019,1.1288352794785819,-0.07172534366021632,-0.05969246893375035
intergenic,76,0.000472752856457169,0.0517089967283566,18.4792432076576,0.9555431265672727,-0.05973858193471515,-0.049716644972482626
intergenic,77,0.000477812894711753,0.00214096780899198,4124.07580957924,8.82951355015169,-0.18181351004806467,-0.1513118898627176
intergenic,78,0.000480630062923007,0.013855125697339,188.044101098091,2.6053746573571734,-0.12630507781394607,-0.10511573104899319
intergenic,79,0.000477852376187468,0.00530470055216371,2090.41985556807,11.089051362085923,-0.15735632500574948,-0.13095772097561675
intergenic,80,0.000474645426942799,0.0195996975568407,61.5126270358205,1.2056288858288244,-0.12037473565351853,-0.10018028219489195
intergenic,81,0.000471225702561595,0.398811374498149,0.825440132732505,0.32919491390098493,-0.03916950251949358,-0.03259830058635482
intergenic,82,0.000476097630235272,0.00284849929445898,5000.0,14.242496472294901,-0.17470797722900344,-0.1453984041209293
intergenic,83,0.000479409222017357,0.022969095216804,181.654148305275,4.172431428951296,-0.08020738090875024,-0.06675153228730613
intergenic,84,0.000471163063029349,0.0612561922145624,10.8182883062356,0.6626871479193206,-0.06622042797753758,-0.05511107564091522
intergenic,85,0.000471334591263866,0.0292583963706491,53.2313454690414,1.5574638050761693,-0.08683178311078832,-0.07226460343441798
intergenic,86,0.00044452976381579,0.0233464806881627,76.8761553824116,1.7947876770156672,-0.09987349643444854,-0.08311839691505174
intergenic,87,0.000448897122569162,0.00293124304096727,3500.40608503253,10.26054097731109,-0.1751634906272772,-0.1457774991240034
intergenic,88,0.000472560866801889,0.0471048797629385,11.10220908837,0.5229682242106719,-0.0949625712680553,-0.07903134437585979
intergenic,89,0.000454966572616942,0.0131582482037623,297.194440208083,3.91055820903615,-0.12323911374513008,-0.10256412298982809
intergenic,90,0.000469867000379781,0.00927879027099889,908.06899494442,8.425781755686025,-0.13401962283959912,-0.11153605914757059
intergenic,91,0.000449536977022644,0.00494625820663087,2869.9225067142,14.19537775122975,-0.15847666657726722,-0.13189011043574705
intergenic,92,0.000471962116224875,0.0397721075794265,23.960316332425,0.9529522788102969,-0.08056117129931883,-0.0670459696621637
intergenic,93,0.000476449359559697,0.039445977537071,24.280975504992,0.9577868143480855,-0.08097261859927052,-0.06738839123753593
intergenic,94,0.000472370072868456,0.180963834123229,2.24623079188467,0.40648653642510674,-0.039675898490892925,-0.03301974193816104
intergenic,95,0.000452262727794003,0.00981934908164467,349.274906507281,3.4296522324537975,-0.14082346427100667,-0.1171984662208424
intergenic,96,0.00048101867230755,0.00400675316015334,2694.85112205844,10.79760324945043,-0.1668378241643098,-0.13884857328925537
intergenic,97,0.000462702752660336,0.0029168092724286,4322.33976227791,12.607440697199038,-0.17456962522254105,-0.1452832624927929
intergenic,98,0.00047815034223358,0.0490558835763945,20.3185161385564,0.9967427621381156,-0.06203652900367329,-0.051629081037968816
intergenic,99,0.000471458190019774,0.0502076962626264,16.2711716035804,0.8169380417096365,-0.06983999798744644,-0.05812341492497031
intergenic,100,0.000457922895451067,0.00454262071105462,3226.75379683547,14.657918626978939,-0.1613176166250454,-0.13425445355096033
intron-enhancers,0,0.000482285858205269,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,1,0.000479581030164021,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,2,0.000488550371996984,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,3,0.000470150343775508,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,4,0.000490743799394253,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,5,0.000473436394492994,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
intron-enhancers,6,0.000476638533039278,0.001,0.1,0.0001,-0.4612210024120633,-0.31562534974154577
