bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
25	815,339,230,187,171,160,141,111,99,89,62,64,83,72,64,81,37,63,55,45,45,24,49,23,43,47,44,25,35,32,48,20,24,42,25,24,22,21,33,16,27,29,18,22,27,19,23,32,20,22,32,33,22,45,39,33,31,64,44,54,47	1909968	229,67,36,24,12,22,13,11,11,7,8,12,16,4,4,8,9,1,2,2,4,1,3,6,4,11,1,0,0,7,9,8,0,4,1,4,1,3,0,0,2,2,2,0,0,0,2,3,0,0,6,6,0,5,16,13,1,0,5,3,7	821714
26	844,338,256,193,135,126,110,89,101,91,92,51,79,77,71,51,46,65,54,35,31,33,42,34,38,39,35,26,22,25,34,28,21,31,21,20,26,27,42,18,23,44,18,25,27,22,20,35,30,41,36,33,31,18,35,39,22,59,42,69,41	1854790	221,74,51,27,17,12,11,17,8,6,3,9,4,12,7,14,2,6,7,4,6,2,3,5,5,5,3,0,0,6,14,11,1,5,1,6,5,0,0,0,4,1,3,2,0,2,3,1,0,1,2,0,0,4,12,13,4,2,8,11,5	810031
27	841,333,257,171,161,149,130,95,102,91,67,48,84,71,75,53,58,62,60,45,41,30,41,30,37,36,44,22,35,32,41,31,25,31,20,21,21,20,39,34,22,28,15,29,40,32,19,28,24,37,32,39,33,15,49,26,18,67,54,51,46	1884846	235,77,56,36,17,10,14,14,10,9,9,4,11,3,5,5,4,8,2,4,4,4,2,4,4,13,2,0,0,3,8,13,0,2,2,4,2,5,2,0,5,2,2,1,1,1,3,1,0,2,0,4,0,11,8,4,1,1,10,9,7	814024
28	828,309,279,192,137,180,115,103,105,99,85,73,75,100,74,46,59,46,63,34,43,44,54,27,40,41,38,23,31,34,32,22,28,26,23,35,21,16,28,28,25,45,18,19,36,30,17,36,28,33,37,45,38,31,43,45,19,46,47,50,52	1903385	233,64,39,27,22,20,19,18,8,6,9,17,7,7,8,14,4,4,8,3,6,3,3,1,1,9,2,0,0,1,9,10,2,4,0,7,2,1,2,0,7,3,4,1,0,1,4,0,0,2,2,3,0,7,9,9,2,1,1,6,6	814494
29	866,324,268,194,148,134,119,109,105,73,91,57,83,82,69,50,44,63,39,40,57,48,40,29,39,46,46,24,39,34,33,21,30,30,28,23,28,21,31,9,19,36,20,28,26,30,16,23,21,34,29,34,30,28,44,30,16,61,43,52,53	1850840	203,76,50,17,21,16,16,13,6,9,12,10,14,9,9,7,2,4,6,4,4,5,5,4,5,8,3,0,0,3,9,9,5,1,2,6,0,0,2,0,3,0,4,0,1,3,1,0,0,1,1,0,0,8,11,6,3,4,9,9,4	817784
30	789,339,254,205,130,137,124,93,91,91,66,61,64,99,64,56,48,59,52,34,38,37,59,29,34,40,30,24,46,27,29,30,26,25,19,26,27,21,25,26,25,35,22,26,25,25,15,29,26,23,24,29,32,18,36,24,36,44,45,54,55	1850197	215,70,44,27,20,19,15,11,11,9,11,5,14,11,7,7,1,1,11,5,6,3,1,4,1,9,3,0,0,4,7,7,5,2,1,8,1,2,1,0,2,1,4,0,1,3,2,2,0,0,4,4,0,5,7,6,1,3,9,4,8	815107
31	833,329,221,200,155,164,128,118,93,103,75,62,64,65,79,62,55,60,65,31,33,50,59,27,38,45,45,23,31,41,32,28,22,38,26,40,23,30,29,26,25,43,31,27,31,18,19,21,22,24,35,40,36,33,43,35,18,56,47,56,65	1889954	237,69,43,21,19,21,24,13,10,14,7,9,15,5,5,5,4,7,8,2,9,3,3,2,5,5,5,0,0,4,14,13,1,3,3,5,1,2,3,0,3,0,4,1,0,2,3,1,0,0,2,5,0,3,16,8,2,0,4,16,9	819090
32	868,368,264,200,146,146,129,98,85,86,65,58,61,63,65,55,56,79,51,27,49,49,56,31,32,53,41,22,39,34,30,26,18,31,18,19,32,23,30,28,25,41,21,26,24,25,18,36,18,33,28,40,41,30,46,26,28,58,48,68,59	1940423	220,75,44,26,17,15,18,11,7,7,7,16,11,6,6,16,1,5,5,5,8,4,0,3,1,4,1,0,0,1,9,11,2,3,2,5,2,2,0,0,0,4,8,0,2,1,5,1,0,0,2,1,0,9,9,8,3,0,9,5,0	810368
33	847,328,290,201,145,161,122,93,84,71,71,58,87,71,70,46,45,62,42,38,28,49,46,28,32,47,25,12,36,28,38,23,17,25,19,25,11,32,37,23,23,48,15,28,30,39,30,31,22,27,27,45,37,25,38,31,21,53,44,59,58	1821640	227,82,43,31,10,19,13,17,15,2,8,11,11,5,7,13,6,2,2,7,3,3,2,2,5,7,3,0,0,4,3,6,4,1,1,8,0,0,2,0,2,2,1,0,1,2,4,1,0,1,1,3,0,6,5,5,2,0,9,7,4	803414
34	839,327,262,210,156,129,131,103,90,88,73,51,76,84,52,58,37,67,43,27,33,22,50,18,37,43,38,12,37,55,37,30,24,36,18,23,21,34,37,26,27,36,24,23,29,27,15,33,16,30,26,34,27,30,36,25,19,52,47,48,62	1872125	222,77,37,29,22,11,8,14,17,9,13,17,16,6,2,8,3,1,8,2,4,3,4,4,6,11,2,0,0,3,7,11,1,3,4,3,2,0,1,0,1,1,5,3,2,1,2,0,0,0,5,3,0,1,2,9,3,2,5,8,4	824497
