bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
22	803,377,244,182,168,129,129,92,102,87,69,48,93,77,70,50,55,66,46,28,39,46,44,29,32,38,43,22,26,46,33,24,24,37,24,29,23,25,36,27,29,46,23,23,23,18,8,27,25,31,41,38,22,22,33,26,25,57,40,67,50	1789182	395,162,85,59,49,59,53,23,31,21,24,14,34,25,13,30,15,25,17,20,15,8,8,14,6,9,14,8,8,11,7,11,8,4,8,9,8,7,10,8,12,8,10,2,1,4,10,10,7,7,2,12,3,12,15,7,9,16,17,15,22	1204714
23	814,333,250,208,125,138,108,82,92,79,58,47,88,73,61,51,64,55,47,30,38,33,40,23,35,44,45,17,34,20,41,30,25,25,17,26,23,18,26,20,25,35,18,34,36,28,12,29,21,31,19,43,27,20,34,26,24,49,36,47,41	1811201	396,128,112,75,42,61,33,30,23,16,21,23,38,24,15,23,18,11,19,16,10,17,8,9,11,8,17,3,8,5,14,13,11,6,10,10,5,3,4,3,6,6,9,9,4,3,12,13,4,7,5,11,5,11,13,12,6,10,17,12,18	1200178
24	890,331,245,184,141,132,113,89,99,104,85,69,82,80,70,46,46,67,73,46,35,41,42,31,39,49,41,25,39,42,36,29,28,26,19,20,23,27,34,31,32,46,22,28,33,32,13,23,27,29,29,37,31,23,46,28,22,51,37,41,59	1855935	466,116,97,66,51,47,45,30,23,30,23,17,33,33,22,25,11,17,18,24,21,10,16,10,17,17,11,5,10,15,12,11,18,6,9,15,5,5,11,5,15,10,8,11,6,7,5,13,5,12,4,12,5,14,13,7,9,18,17,22,26	1231722
25	827,363,255,209,158,131,137,92,95,90,87,55,79,74,69,42,46,63,58,42,32,39,37,35,44,49,44,17,30,32,34,33,17,33,20,24,24,25,33,22,31,33,15,25,41,33,22,32,23,34,34,37,23,17,40,29,33,41,47,60,51	1887362	421,153,84,68,50,63,34,23,21,24,23,18,33,18,13,23,15,14,21,16,18,14,11,13,13,17,11,6,8,10,15,19,17,9,6,11,5,6,9,12,16,3,8,3,3,6,12,15,5,5,6,14,2,11,11,6,9,16,15,19,15	1262432
26	855,323,228,201,126,131,102,91,96,84,69,44,58,89,72,42,48,54,58,41,41,45,47,31,34,51,32,26,31,31,36,25,21,27,27,17,20,27,35,21,21,50,13,26,31,21,15,36,29,41,22,41,39,28,38,25,21,48,30,55,73	1840399	435,137,105,66,42,50,38,38,23,19,17,18,30,27,17,18,15,18,23,31,13,11,8,15,12,19,7,6,7,14,13,9,10,7,12,13,9,9,5,8,8,4,6,4,6,7,13,10,4,10,2,17,7,17,12,9,6,15,17,10,24	1244242
27	871,354,234,181,138,122,123,96,101,78,89,69,79,54,57,55,55,60,36,31,41,36,48,21,34,51,37,30,28,28,40,30,22,28,27,25,20,23,29,13,31,36,15,29,33,26,15,30,35,38,27,39,36,31,48,22,25,47,43,56,50	1863791	424,138,102,67,52,50,46,47,14,16,21,16,33,25,18,32,17,12,20,17,18,6,13,5,7,16,9,4,11,7,17,15,10,4,10,9,3,4,9,8,11,4,11,6,2,5,17,8,5,11,6,7,4,12,7,7,6,20,13,14,12	1238656
28	846,321,237,214,145,152,104,83,117,88,84,57,76,87,76,62,52,69,63,43,42,32,49,28,38,53,47,24,41,46,30,30,25,26,19,23,24,36,42,19,22,38,21,29,38,28,16,28,28,34,22,41,36,28,47,30,20,73,28,59,52	1878211	396,170,74,59,43,52,35,26,34,24,37,19,33,37,17,26,17,20,23,26,16,12,16,12,14,22,13,3,5,16,21,22,14,9,4,13,7,8,7,10,6,10,11,7,9,11,13,9,4,5,5,13,2,12,10,10,8,17,13,18,16	1241342
29	824,330,233,169,154,122,119,89,90,90,84,51,97,77,67,61,47,53,56,36,35,38,57,31,40,54,31,22,32,35,42,27,17,23,29,29,23,22,32,25,27,39,15,20,35,29,11,39,31,34,33,28,31,37,45,23,18,67,38,31,60	1852501	423,137,87,68,43,60,39,39,28,17,19,19,30,25,17,34,16,15,20,16,13,12,12,8,13,28,9,2,10,9,20,20,8,7,10,14,8,4,8,4,9,2,7,4,2,8,17,12,6,9,5,14,7,16,7,7,7,13,15,14,24	1263172
30	788,311,287,200,159,136,114,93,93,84,61,52,82,76,63,50,49,73,64,35,36,37,51,33,48,46,22,20,30,30,32,19,26,31,24,19,19,31,30,27,32,35,22,35,36,25,20,28,22,30,23,30,27,30,35,19,20,72,41,50,48	1817447	432,137,110,86,50,56,26,27,32,17,28,12,23,18,13,15,19,16,17,20,13,9,15,8,13,12,9,3,3,15,23,12,10,11,9,10,7,6,7,12,7,8,8,6,6,8,16,6,2,9,7,10,3,22,13,6,3,19,7,19,21	1190717
31	788,376,213,187,165,133,119,82,97,103,81,52,73,76,60,45,55,51,52,45,36,26,45,21,41,56,30,24,39,31,37,30,25,25,17,21,26,27,38,12,29,40,12,28,28,27,19,28,25,28,29,52,28,17,38,24,22,59,43,54,48	1858790	418,145,99,70,45,52,38,34,29,20,20,16,26,28,17,15,13,13,15,15,12,9,16,7,12,21,10,4,9,13,12,9,7,7,3,11,8,9,16,6,8,5,11,6,4,2,15,11,3,8,5,18,5,18,10,8,3,16,15,19,15	1232828
32	898,342,244,176,130,142,128,95,101,87,74,60,84,74,73,55,49,58,48,38,35,28,48,29,38,48,34,22,35,36,41,28,19,26,12,28,22,23,32,18,31,38,22,22,28,33,16,40,28,40,39,38,23,27,36,17,27,56,52,54,57	1869045	397,129,107,52,44,65,38,30,29,24,16,17,29,21,19,25,16,14,15,16,15,6,11,6,15,15,10,5,11,11,18,14,9,5,5,12,6,5,14,6,10,5,10,1,6,7,13,11,1,11,4,14,7,13,11,7,11,22,20,11,22	1250214
33	777,309,255,189,134,150,112,96,91,93,80,64,77,66,54,48,45,71,49,39,36,43,43,36,41,55,33,19,32,24,31,20,21,30,25,24,27,36,24,24,18,37,23,24,29,28,10,44,27,43,35,43,25,30,32,30,20,53,39,53,58	1798922	469,126,86,78,47,63,31,32,29,32,19,14,36,25,12,23,13,8,12,19,24,12,14,5,11,13,11,5,8,13,8,13,11,14,6,12,4,8,5,6,10,5,9,4,6,8,15,16,5,5,1,15,7,20,8,10,7,27,16,13,14	1231869
34	851,346,215,203,147,126,134,92,81,90,62,59,78,78,60,52,53,54,56,26,27,37,56,40,40,48,34,14,33,28,36,28,24,32,26,26,30,27,37,32,43,38,17,27,37,37,26,32,29,43,28,26,35,28,40,29,31,49,47,53,69	1825674	383,148,110,72,50,52,45,31,34,25,11,16,28,23,15,23,12,12,22,21,10,13,10,18,16,13,11,7,8,10,15,18,12,12,6,21,6,6,5,10,6,3,14,4,6,11,24,8,4,9,6,11,8,15,12,10,12,13,17,14,25	1228511
35	908,344,240,188,153,158,105,87,101,101,86,53,78,79,62,52,52,69,52,28,44,36,43,23,28,46,29,19,30,36,36,26,12,31,20,22,24,32,29,30,38,36,11,30,36,30,13,38,17,39,40,37,22,27,32,27,27,58,48,60,62	1892214	388,126,105,63,34,60,37,38,24,28,16,7,31,25,26,29,15,11,13,17,22,11,9,6,11,14,9,5,8,12,10,12,8,3,3,15,5,6,13,15,12,11,11,1,3,4,16,9,5,8,7,13,9,14,12,8,5,28,23,18,12	1239930
36	817,337,231,186,144,108,140,111,103,88,83,60,78,83,62,57,58,51,38,39,39,38,39,27,37,53,30,26,32,30,37,33,31,36,21,26,25,23,37,15,34,35,17,18,30,30,17,42,15,40,30,27,32,29,50,26,27,49,46,55,43	1847400	416,150,103,61,47,45,45,26,29,30,23,23,30,23,11,30,10,14,12,22,16,6,13,9,12,16,9,3,9,8,21,12,13,7,5,20,2,9,13,9,14,6,13,6,4,8,9,6,5,10,4,6,5,13,12,16,10,14,18,12,19	1228513
37	845,329,206,205,122,116,117,99,105,80,74,52,75,73,71,55,51,64,57,38,43,35,52,30,30,47,28,18,27,42,36,20,17,24,20,21,30,27,26,25,27,40,21,17,39,24,21,34,30,40,19,36,26,19,37,31,25,55,45,54,62	1836986	408,148,99,61,42,59,41,40,22,13,22,19,29,24,18,18,11,20,14,15,7,7,10,6,9,21,8,6,5,9,9,13,10,3,8,11,8,8,10,5,9,2,7,4,5,5,20,16,6,6,2,15,4,17,10,12,9,9,22,22,21	1228820
