bs_rep	neu_sfs	neu_call	sel_sfs	sel_call
27	535,226,114,110,69,80,86,65,51,77,40,38,55,51,40,41,33,35,35,24,23,37,19,19,19,35,19,9,17,22,20,11,13,17,20,18,7,20,14,20,18,22,17,15,17,17,11,22,31,14,22,43,24,24,12,17,14,28,31,35,38	1111382	389,195,118,80,85,42,76,46,34,44,42,27,32,11,30,17,25,11,17,19,20,4,15,10,13,12,13,11,19,13,20,14,14,14,22,11,7,14,14,16,2,9,12,4,5,11,9,8,4,15,7,17,12,13,16,11,6,9,19,17,27	820275
28	499,219,145,105,75,99,87,58,48,82,30,37,46,46,34,43,27,43,30,25,21,34,13,20,13,33,23,16,19,26,31,9,25,12,20,15,18,18,16,20,9,21,11,9,22,13,15,22,17,12,9,28,19,21,9,22,12,27,26,30,46	1096821	401,173,149,63,73,64,69,28,42,51,60,25,31,12,30,13,16,15,14,19,16,7,14,6,11,11,13,5,14,13,22,8,16,15,8,7,17,14,9,15,8,11,12,15,14,11,11,7,10,13,11,13,10,10,17,13,5,6,17,16,25	824409
29	490,214,142,114,77,85,84,78,51,86,51,30,48,49,32,34,19,41,32,21,20,28,22,11,18,32,20,8,16,18,25,12,6,13,15,21,9,17,18,8,9,23,12,14,24,13,9,6,23,25,21,25,16,20,16,12,13,24,31,35,44	1066835	416,207,118,66,88,58,75,34,36,48,43,19,21,24,14,24,16,18,13,38,11,6,14,12,21,11,11,8,12,8,30,10,21,15,21,10,8,7,12,15,1,16,8,10,4,5,11,9,5,13,7,21,8,14,15,8,15,10,13,13,23	830818
30	494,219,145,99,73,99,83,58,51,73,35,44,41,38,48,41,18,35,35,25,23,23,25,20,13,32,24,14,18,21,33,10,18,15,11,14,17,16,27,15,10,17,13,11,13,16,13,12,17,16,16,19,19,17,19,25,14,31,31,41,44	1073957	405,197,116,73,103,66,46,11,27,35,49,26,37,23,21,19,23,8,24,25,20,7,20,11,15,7,7,10,14,17,27,7,12,8,13,12,4,17,9,10,7,13,9,12,12,11,12,9,9,15,10,18,7,15,14,9,16,9,23,11,25	830038
31	505,223,155,108,76,84,89,63,44,65,34,35,42,31,34,26,19,36,47,35,26,21,22,11,23,25,25,16,13,22,29,7,15,18,12,18,9,25,18,21,9,17,17,8,15,10,13,20,26,14,20,19,23,17,19,14,12,24,41,47,46	1096241	419,183,111,68,83,49,52,35,24,49,41,22,33,21,37,19,24,12,17,28,20,10,17,12,14,14,8,4,3,9,12,19,10,17,10,10,10,11,10,12,9,12,13,9,12,4,8,13,6,19,13,22,6,6,12,9,6,8,24,27,32	828840
32	522,219,150,118,78,85,80,55,54,66,38,33,51,42,48,39,29,40,50,27,22,25,25,12,27,30,15,15,15,21,34,11,10,12,17,29,13,23,17,13,9,19,18,8,18,18,16,17,25,18,20,22,15,20,18,19,12,29,26,27,42	1097964	419,177,127,80,74,54,54,29,35,37,49,21,31,21,25,16,15,10,18,29,21,11,18,2,10,18,9,6,18,10,18,9,15,18,14,8,11,11,13,17,7,13,16,12,6,5,8,8,3,11,10,13,9,21,14,13,13,14,17,21,26	831566
33	496,227,166,106,79,96,54,79,48,72,34,26,46,36,41,33,25,36,39,35,21,22,17,16,13,34,20,15,13,19,24,8,23,19,8,16,10,20,18,15,21,14,11,8,25,11,10,23,14,15,14,24,14,19,17,26,13,27,35,38,45	1075624	433,174,138,70,62,41,72,30,35,30,37,26,25,17,18,21,25,17,14,22,24,13,13,8,18,9,8,11,12,7,16,5,8,8,11,5,11,11,16,20,9,15,19,6,6,2,8,11,6,13,10,22,12,17,14,6,9,6,17,23,29	834948
34	552,222,170,111,82,88,77,70,47,64,34,26,51,26,36,40,24,35,28,29,23,26,27,13,21,33,21,20,17,16,22,10,12,17,16,11,12,19,15,10,20,22,10,8,22,20,9,23,22,26,11,14,12,23,16,21,18,28,37,34,40	1089957	362,165,135,59,84,48,64,30,16,45,42,22,34,7,22,33,28,15,20,28,24,10,15,9,11,12,8,3,14,11,21,5,10,22,17,7,16,16,15,20,5,8,10,9,10,10,5,5,9,21,9,12,6,8,16,10,14,9,19,25,29	822709
35	531,213,139,95,66,86,91,58,61,54,33,34,40,48,42,43,23,37,30,28,11,28,7,17,23,31,21,16,19,17,24,6,22,18,8,17,10,16,20,16,14,20,14,11,18,10,7,22,18,11,16,18,13,16,15,13,16,25,30,36,40	1084968	381,159,124,86,76,53,62,24,34,49,44,17,29,20,21,25,33,16,20,37,24,13,17,9,11,11,7,9,10,11,13,12,16,17,9,13,19,12,6,15,4,9,9,12,10,6,12,4,7,16,9,22,6,15,18,10,12,12,14,23,31	836803
36	535,224,134,113,66,106,71,64,48,62,34,27,38,35,27,30,29,40,47,36,19,28,14,18,25,22,19,12,14,17,25,9,10,23,10,13,11,11,17,10,12,19,11,12,22,14,15,12,19,17,17,21,15,23,15,16,21,21,29,34,50	1092667	435,179,136,79,84,52,68,32,32,44,48,16,34,15,29,22,24,12,19,28,17,9,10,13,12,14,6,8,16,11,24,8,18,19,11,5,10,11,17,15,5,11,16,13,7,6,6,7,7,12,16,15,8,17,14,5,12,12,12,20,22	858386
37	511,212,138,123,70,108,84,52,52,63,38,29,37,35,39,33,31,45,36,21,18,35,28,23,26,31,18,11,19,17,23,6,11,25,12,22,15,23,20,15,14,16,11,7,20,15,11,18,19,17,13,32,18,21,8,25,17,20,22,30,55	1096307	411,172,120,60,77,54,51,22,28,33,47,22,34,21,31,17,27,18,23,32,18,7,15,5,10,5,4,14,10,8,8,4,18,12,12,7,13,9,12,10,5,6,11,10,5,9,6,11,8,22,7,12,11,9,12,6,5,7,15,22,24	823049
38	533,226,137,86,72,103,98,67,49,56,38,33,40,48,34,36,25,51,40,28,27,32,23,18,30,29,18,17,23,14,34,8,23,22,15,19,14,15,18,6,11,30,24,7,13,19,15,12,21,22,12,18,11,20,12,30,18,24,37,37,33	1114617	417,139,138,66,78,60,58,35,34,32,58,18,34,18,38,23,31,9,17,27,22,10,15,11,14,8,11,13,23,6,24,10,19,18,14,11,7,11,13,20,5,14,8,8,17,13,8,11,8,11,6,12,7,20,13,10,14,12,18,12,22	830560
39	509,206,139,96,79,71,72,59,48,76,38,33,43,28,37,21,30,25,37,31,23,26,27,13,17,36,19,12,12,14,23,11,19,15,15,13,6,19,13,15,23,23,19,11,17,13,15,13,17,13,16,20,14,25,16,20,10,20,22,34,37	1081371	393,192,124,70,68,52,70,29,29,40,43,18,30,21,24,23,33,16,26,31,28,11,26,13,19,11,11,11,10,8,25,9,23,22,10,14,14,8,6,7,6,14,7,10,10,11,8,6,7,11,11,13,14,17,20,8,11,16,16,12,27	832739
